transaction_id,account_id,ticker,transaction_type,transaction_date,quantity,price_per_share,total_amount,cost_basis_method,status
TXN0051,ACC016,MSFT,SELL,2020-09-30,29,181.92,5275.68,LIFO,ERROR
TXN0052,ACC029,NVDA,SELL,2020-11-21,86,448.35,38558.1,LIFO,PROCESSED
TXN0053,ACC034,JPM,BUY,2021-07-16,58,244.39,14174.62,LIFO,PROCESSED
TXN0054,ACC006,GOOGL,BUY,2021-04-18,10,585.16,5851.6,LIFO,PROCESSED
TXN0055,ACC030,NVDA,BUY,2021-02-27,89,164.6,14649.4,LIFO,PROCESSED
TXN0056,ACC049,NVDA,SELL,2020-01-13,50,728.63,36431.5,FIFO,PROCESSED
TXN0057,ACC048,AMZN,SELL,2021-03-25,39,615.11,23989.29,FIFO,PENDING
TXN0058,ACC047,GOOGL,SELL,2020-09-18,56,414.23,23196.88,SPEC_ID,PROCESSED
TXN0059,ACC042,NVDA,BUY,2024-11-10,0,70.22,0.0,LIFO,PROCESSED
TXN0060,ACC049,NVDA,SELL,2024-03-20,24,87.71,2105.04,LIFO,PROCESSED
TXN0061,ACC023,AMZN,BUY,2024-05-18,33,676.18,22313.94,FIFO,PROCESSED
TXN0062,ACC016,GOOGL,SELL,2023-10-03,97,73.27,7107.19,FIFO,PROCESSED
TXN0063,ACC039,MSFT,BUY,2021-09-29,73,760.82,55539.86,FIFO,PROCESSED
TXN0064,ACC026,AMZN,BUY,2023-04-27,75,69.26,5194.5,FIFO,PROCESSED
TXN0065,ACC037,AAPL,SELL,2022-12-27,14,572.89,8020.46,LIFO,PROCESSED
TXN0066,ACC032,MSFT,SELL,2022-01-11,85,327.93,27874.05,LIFO,PROCESSED
TXN0067,ACC040,JPM,SELL,2022-06-11,91,164.74,14991.34,SPEC_ID,PROCESSED
TXN0068,ACC029,AMZN,SELL,2023-03-13,35,291.73,10210.55,SPEC_ID,PROCESSED
TXN0069,ACC014,META,SELL,2021-11-28,86,334.24,28744.64,FIFO,PROCESSED
TXN0070,ACC006,AMZN,SELL,2022-09-27,77,,,SPEC_ID,PROCESSED
TXN0071,ACC002,MSFT,SELL,2021-03-29,98,230.24,22563.52,LIFO,PROCESSED
TXN0072,ACC023,NVDA,SELL,2021-12-21,89,232.48,20690.72,LIFO,PROCESSED
TXN0073,ACC048,GOOGL,BUY,2021-03-19,35,279.97,9798.95,LIFO,PROCESSED
TXN0074,ACC007,AMZN,SELL,2021-04-10,36,593.44,21363.84,FIFO,ERROR
TXN0075,ACC004,TSLA,BUY,2023-07-30,23,276.7,6364.1,LIFO,PROCESSED
TXN0076,ACC012,AAPL,SELL,2024-10-30,14,704.54,9863.56,LIFO,PROCESSED
TXN0077,ACC004,GOOGL,BUY,2024-07-19,15,666.59,9998.85,SPEC_ID,PROCESSED
TXN0078,ACC039,AMZN,SELL,2022-07-11,39,113.89,4441.71,LIFO,PROCESSED
TXN0079,ACC040,MSFT,BUY,2023-07-05,39,695.12,27109.68,FIFO,ERROR
TXN0080,ACC001,NVDA,SELL,2023-11-12,34,545.32,18540.88,SPEC_ID,PROCESSED
TXN0081,ACC030,MSFT,BUY,2021-06-25,61,268.44,16374.84,SPEC_ID,PROCESSED
TXN0082,ACC010,TSLA,BUY,2020-05-26,85,652.93,55499.05,FIFO,PROCESSED
TXN0083,ACC029,MSFT,SELL,2023-11-11,22,644.47,14178.34,FIFO,PROCESSED
TXN0084,ACC039,AAPL,SELL,2024-02-13,90,351.88,31669.2,FIFO,PROCESSED
TXN0085,ACC037,AAPL,SELL,2023-03-26,78,237.78,18546.84,FIFO,PROCESSED
TXN0086,ACC012,NVDA,SELL,2020-07-05,98,617.2,60485.6,LIFO,PROCESSED
TXN0087,ACC027,JPM,SELL,2023-09-18,45,356.26,16031.7,LIFO,PROCESSED
TXN0088,ACC050,NVDA,BUY,2023-09-08,98,462.57,45331.86,SPEC_ID,PROCESSED
TXN0089,ACC041,JPM,BUY,2021-02-20,60,359.94,21596.4,FIFO,PROCESSED
TXN0090,ACC002,AMZN,BUY,2021-09-28,71,148.26,10526.46,SPEC_ID,PROCESSED
TXN0091,ACC030,MSFT,BUY,2022-10-17,2,464.19,928.38,FIFO,PROCESSED
TXN0092,ACC030,GOOGL,SELL,2021-01-25,66,579.06,38217.96,SPEC_ID,PROCESSED
TXN0093,ACC027,META,SELL,2024-08-07,66,609.72,40241.52,FIFO,PROCESSED
TXN0094,ACC010,JPM,SELL,2021-12-07,37,594.54,21997.98,FIFO,PENDING
TXN0095,ACC045,AMZN,SELL,2021-04-23,71,622.15,44172.65,LIFO,PROCESSED
TXN0096,ACC043,GOOGL,SELL,2020-03-16,6,288.63,1731.78,FIFO,PROCESSED
TXN0097,ACC007,JPM,BUY,2024-01-19,65,774.02,50311.3,FIFO,PROCESSED
TXN0098,ACC017,META,SELL,2023-08-23,53,703.2,37269.6,FIFO,ERROR
TXN0099,ACC046,JPM,BUY,2023-06-18,43,689.26,29638.18,FIFO,PENDING
TXN0100,ACC028,MSFT,BUY,2022-06-27,31,523.37,16224.47,FIFO,ERROR
TXN0101,ACC023,META,SELL,2020-10-25,89,274.6,24439.4,FIFO,PROCESSED
TXN0102,ACC040,NVDA,BUY,2022-10-16,68,359.04,24414.72,SPEC_ID,PROCESSED
TXN0103,ACC030,TSLA,BUY,2020-05-31,19,224.14,4258.66,LIFO,PROCESSED
TXN0104,ACC030,TSLA,BUY,2022-02-26,45,790.74,35583.3,LIFO,PROCESSED
TXN0105,ACC019,AAPL,SELL,2021-07-16,14,227.9,3190.6,FIFO,PROCESSED
TXN0106,ACC048,JPM,SELL,2024-05-07,73,698.8,51012.4,FIFO,PROCESSED
TXN0107,ACC049,GOOGL,BUY,2023-07-09,78,651.45,50813.1,FIFO,PROCESSED
TXN0108,ACC019,META,SELL,2020-12-25,40,641.46,25658.4,FIFO,PROCESSED
TXN0109,ACC018,GOOGL,SELL,2024-08-15,17,639.88,10877.96,LIFO,PENDING
TXN0110,ACC010,AMZN,SELL,2024-09-28,38,609.92,23176.96,SPEC_ID,PROCESSED
TXN0111,ACC024,TSLA,SELL,2024-08-11,47,117.73,5533.31,FIFO,PROCESSED
TXN0112,ACC021,AMZN,BUY,2023-07-25,14,556.13,7785.82,LIFO,PROCESSED
TXN0113,ACC020,JPM,BUY,2020-07-18,90,276.64,24897.6,FIFO,PROCESSED
TXN0114,ACC035,NVDA,BUY,2024-12-18,69,151.75,10470.75,LIFO,PROCESSED
TXN0115,ACC003,META,BUY,2022-06-27,84,124.27,10438.68,LIFO,PROCESSED
TXN0116,ACC042,META,BUY,2022-03-26,31,691.59,21439.29,FIFO,PROCESSED
TXN0117,ACC014,AAPL,BUY,2024-05-30,25,776.16,19404.0,FIFO,ERROR
TXN0118,ACC036,AMZN,BUY,2024-07-23,32,791.62,25331.84,FIFO,PROCESSED
TXN0119,ACC010,GOOGL,SELL,2024-06-23,43,630.78,27123.54,FIFO,PROCESSED
TXN0120,ACC016,META,BUY,2020-12-22,15,,,FIFO,PROCESSED
TXN0121,ACC029,META,BUY,2022-07-14,7,145.07,1015.49,SPEC_ID,PROCESSED
TXN0122,ACC034,TSLA,SELL,2023-08-10,29,759.06,22012.74,FIFO,PROCESSED
TXN0123,ACC046,JPM,BUY,2020-06-14,8,798.94,6391.52,FIFO,PENDING
TXN0124,ACC046,META,SELL,2023-05-08,78,161.25,12577.5,SPEC_ID,PROCESSED
TXN0125,ACC042,AMZN,SELL,2022-07-13,38,390.29,14831.02,FIFO,PROCESSED
TXN0126,ACC028,META,SELL,2022-02-05,53,304.2,16122.6,FIFO,PROCESSED
TXN0127,ACC007,META,BUY,2023-02-13,88,742.24,65317.12,FIFO,PROCESSED
TXN0128,ACC043,NVDA,BUY,2021-08-12,76,767.47,58327.72,SPEC_ID,PROCESSED
TXN0129,ACC015,MSFT,SELL,2024-09-27,40,313.73,12549.2,SPEC_ID,PROCESSED
TXN0130,ACC036,AAPL,SELL,2020-02-29,48,136.16,6535.68,FIFO,PROCESSED
TXN0131,ACC010,NVDA,BUY,2020-10-17,0,577.02,0.0,FIFO,PROCESSED
TXN0132,ACC024,TSLA,SELL,2024-05-09,12,609.58,7314.96,SPEC_ID,PROCESSED
TXN0133,ACC044,MSFT,SELL,2022-06-26,77,113.72,8756.44,LIFO,PROCESSED
TXN0134,ACC023,NVDA,BUY,2021-08-03,63,505.31,31834.53,SPEC_ID,PROCESSED
TXN0135,ACC004,AAPL,BUY,2021-09-09,63,445.2,28047.6,FIFO,PROCESSED
TXN0136,ACC048,NVDA,BUY,2020-09-21,0,152.93,0.0,LIFO,PROCESSED
TXN0137,ACC005,NVDA,BUY,2022-06-12,69,577.75,39864.75,FIFO,PROCESSED
TXN0138,ACC046,NVDA,SELL,2020-08-23,59,740.87,43711.33,LIFO,PENDING
TXN0139,ACC045,META,BUY,2022-06-13,3,774.65,2323.95,FIFO,PROCESSED
TXN0140,ACC048,META,BUY,2021-11-13,32,376.76,12056.32,FIFO,PROCESSED
TXN0141,ACC023,META,BUY,2021-04-28,10,432.86,4328.6,FIFO,PROCESSED
TXN0142,ACC005,GOOGL,SELL,2022-08-08,19,241.98,4597.62,SPEC_ID,PROCESSED
TXN0143,ACC040,META,SELL,2020-11-05,98,484.6,47490.8,LIFO,PROCESSED
TXN0144,ACC023,MSFT,SELL,2022-08-03,9,401.69,3615.21,LIFO,PROCESSED
TXN0145,ACC006,NVDA,SELL,2023-04-03,5,92.67,463.35,SPEC_ID,PENDING
TXN0146,ACC021,JPM,BUY,2020-05-06,95,721.91,68581.45,LIFO,PROCESSED
TXN0147,ACC042,GOOGL,BUY,2021-05-22,14,658.23,9215.22,LIFO,PENDING
TXN0148,ACC025,NVDA,SELL,2023-10-22,57,443.05,25253.85,SPEC_ID,PROCESSED
TXN0149,ACC044,NVDA,SELL,2021-05-31,7,641.92,4493.44,SPEC_ID,PROCESSED
TXN0150,ACC042,NVDA,BUY,2023-05-03,20,300.02,6000.4,FIFO,PROCESSED
TXN0151,ACC045,MSFT,SELL,2022-11-07,40,469.19,18767.6,FIFO,PROCESSED
TXN0152,ACC032,AMZN,BUY,2020-10-08,3,321.95,965.85,FIFO,PROCESSED
TXN0153,ACC048,AAPL,SELL,2024-11-29,10,271.84,2718.4,SPEC_ID,PROCESSED
TXN0154,ACC040,GOOGL,SELL,2020-03-30,17,497.93,8464.81,LIFO,PROCESSED
TXN0155,ACC048,JPM,BUY,2022-12-29,47,557.27,26191.69,FIFO,PROCESSED
TXN0156,ACC044,JPM,SELL,2024-04-24,40,774.2,30968.0,FIFO,PROCESSED
TXN0157,ACC039,GOOGL,SELL,2020-04-16,100,336.4,33640.0,LIFO,PROCESSED
TXN0158,ACC019,MSFT,BUY,2021-07-12,48,465.91,22363.68,LIFO,PROCESSED
TXN0159,ACC029,META,BUY,2022-04-29,66,160.51,10593.66,FIFO,PROCESSED
TXN0160,ACC002,META,BUY,2024-09-14,51,426.51,21752.01,FIFO,PROCESSED
TXN0161,ACC009,JPM,SELL,2023-06-14,19,153.2,2910.8,FIFO,PROCESSED
TXN0162,ACC039,NVDA,BUY,2024-05-08,11,64.25,706.75,FIFO,PROCESSED
TXN0163,ACC030,MSFT,BUY,2024-09-09,31,275.86,8551.66,LIFO,PROCESSED
TXN0164,ACC019,NVDA,BUY,2023-06-13,77,452.04,34807.08,FIFO,PROCESSED
TXN0165,ACC024,MSFT,BUY,2022-03-10,31,478.0,14818.0,LIFO,PROCESSED
TXN0166,ACC005,META,BUY,2024-02-10,0,526.75,0.0,FIFO,ERROR
TXN0167,ACC022,GOOGL,SELL,2023-11-25,99,486.43,48156.57,LIFO,PROCESSED
TXN0168,ACC003,TSLA,BUY,2020-03-30,81,186.71,15123.51,FIFO,PROCESSED
TXN0169,ACC031,TSLA,BUY,2024-03-22,6,286.7,1720.2,FIFO,PROCESSED
TXN0170,ACC008,META,SELL,2024-12-26,37,317.73,11756.01,LIFO,PROCESSED
TXN0171,ACC045,JPM,SELL,2024-06-20,96,379.8,36460.8,SPEC_ID,ERROR
TXN0172,ACC012,TSLA,SELL,2020-07-29,35,650.86,22780.1,FIFO,PROCESSED
TXN0173,ACC045,JPM,SELL,2022-07-04,42,545.69,22918.98,FIFO,PROCESSED
TXN0174,ACC004,MSFT,SELL,2022-01-14,94,702.53,66037.82,SPEC_ID,PROCESSED
TXN0175,ACC029,AAPL,BUY,2020-05-17,96,559.56,53717.76,FIFO,ERROR
TXN0176,ACC010,JPM,SELL,2022-01-31,100,533.87,53387.0,LIFO,PROCESSED
TXN0177,ACC018,AMZN,BUY,2020-02-23,98,107.66,10550.68,FIFO,PROCESSED
TXN0178,ACC046,JPM,BUY,2023-06-07,64,438.31,28051.84,FIFO,PENDING
TXN0179,ACC029,GOOGL,SELL,2020-06-28,89,737.36,65625.04,FIFO,PROCESSED
TXN0180,ACC011,GOOGL,SELL,2022-11-07,86,310.57,26709.02,FIFO,PROCESSED
TXN0181,ACC024,META,SELL,2024-07-03,16,788.85,12621.6,SPEC_ID,PROCESSED
TXN0182,ACC047,JPM,SELL,2024-04-24,17,508.96,8652.32,LIFO,PROCESSED
TXN0183,ACC044,META,BUY,2024-12-03,74,105.31,7792.94,SPEC_ID,ERROR
TXN0184,ACC004,MSFT,BUY,2021-09-14,82,490.84,40248.88,FIFO,PROCESSED
TXN0185,ACC019,MSFT,SELL,2021-02-06,21,292.0,6132.0,SPEC_ID,PROCESSED
TXN0186,ACC011,GOOGL,BUY,2023-09-11,36,143.88,5179.68,SPEC_ID,PROCESSED
TXN0187,ACC002,MSFT,BUY,2023-08-06,93,726.5,67564.5,SPEC_ID,PROCESSED
TXN0188,ACC032,TSLA,SELL,2022-09-16,34,538.35,18303.9,FIFO,PROCESSED
TXN0189,ACC027,JPM,SELL,2021-02-21,88,354.57,31202.16,FIFO,PROCESSED
TXN0190,ACC023,NVDA,BUY,2024-04-06,78,157.75,12304.5,FIFO,PENDING
TXN0191,ACC016,GOOGL,BUY,2020-04-13,66,471.24,31101.84,FIFO,PROCESSED
TXN0192,ACC021,META,BUY,2024-04-11,50,698.12,34906.0,FIFO,PROCESSED
TXN0193,ACC006,NVDA,SELL,2021-05-08,64,796.98,51006.72,FIFO,PROCESSED
TXN0194,ACC042,JPM,SELL,2023-01-04,75,314.67,23600.25,FIFO,PROCESSED
TXN0195,ACC024,AAPL,SELL,2020-04-14,14,373.2,5224.8,SPEC_ID,PENDING
TXN0196,ACC049,TSLA,BUY,2020-09-20,72,195.99,14111.28,FIFO,PROCESSED
TXN0197,ACC010,AMZN,SELL,2022-10-21,51,329.9,16824.9,FIFO,ERROR
TXN0198,ACC010,GOOGL,SELL,2023-06-09,6,79.19,475.14,FIFO,PROCESSED
TXN0199,ACC033,JPM,SELL,2022-08-30,21,344.72,7239.12,FIFO,PROCESSED
TXN0200,ACC047,AAPL,SELL,2021-06-27,48,298.43,14324.64,SPEC_ID,PROCESSED
TXN0201,ACC047,NVDA,BUY,2024-08-09,74,220.66,16328.84,FIFO,PROCESSED
TXN0202,ACC027,GOOGL,SELL,2023-11-15,5,479.43,2397.15,FIFO,PROCESSED
TXN0203,ACC047,AAPL,BUY,2022-11-28,53,426.36,22597.08,FIFO,PROCESSED
TXN0204,ACC012,JPM,SELL,2023-01-23,72,293.79,21152.88,FIFO,PROCESSED
TXN0205,ACC040,JPM,BUY,2021-05-19,87,628.99,54722.13,FIFO,PROCESSED
TXN0206,ACC046,AMZN,SELL,2021-10-11,72,273.87,19718.64,LIFO,ERROR
TXN0207,ACC037,NVDA,SELL,2024-08-03,45,470.37,21166.65,FIFO,ERROR
TXN0208,ACC023,JPM,SELL,2024-03-10,99,653.46,64692.54,LIFO,PROCESSED
TXN0209,ACC009,MSFT,BUY,2021-05-11,28,201.55,5643.4,FIFO,PROCESSED
TXN0210,ACC022,JPM,BUY,2023-10-27,86,728.89,62684.54,FIFO,PROCESSED
TXN0211,ACC031,JPM,BUY,2024-03-28,1,773.39,773.39,FIFO,ERROR
TXN0212,ACC015,AAPL,BUY,2022-05-05,42,264.06,11090.52,FIFO,PROCESSED
TXN0213,ACC019,AAPL,BUY,2021-09-03,5,797.88,3989.4,SPEC_ID,PROCESSED
TXN0214,ACC035,JPM,BUY,2024-10-08,78,130.48,10177.44,SPEC_ID,ERROR
TXN0215,ACC042,TSLA,BUY,2020-01-29,60,254.63,15277.8,FIFO,PENDING
TXN0216,ACC026,NVDA,SELL,2020-06-26,38,475.84,18081.92,LIFO,PROCESSED
TXN0217,ACC001,TSLA,SELL,2021-04-27,86,121.54,10452.44,LIFO,ERROR
TXN0218,ACC017,META,BUY,2020-05-07,97,250.25,24274.25,FIFO,PROCESSED
TXN0219,ACC046,TSLA,BUY,2023-08-01,60,280.1,16806.0,FIFO,PROCESSED
TXN0220,ACC048,META,SELL,2023-12-08,48,510.97,24526.56,SPEC_ID,PROCESSED
TXN0221,ACC044,MSFT,SELL,2022-12-17,61,618.01,37698.61,FIFO,PENDING
TXN0222,ACC013,GOOGL,BUY,2021-11-02,10,737.93,7379.3,SPEC_ID,PROCESSED
TXN0223,ACC033,JPM,BUY,2022-07-17,57,137.18,7819.26,FIFO,PROCESSED
TXN0224,ACC020,AAPL,SELL,2021-06-05,66,361.57,23863.62,FIFO,PROCESSED
TXN0225,ACC035,AAPL,BUY,2022-08-24,96,213.43,20489.28,FIFO,PROCESSED
TXN0226,ACC042,NVDA,SELL,2024-12-30,37,356.65,13196.05,LIFO,PROCESSED
TXN0227,ACC043,GOOGL,SELL,2020-08-30,58,702.22,40728.76,FIFO,PENDING
TXN0228,ACC049,AAPL,SELL,2022-08-06,69,344.79,23790.51,SPEC_ID,PROCESSED
TXN0229,ACC018,AMZN,BUY,2020-03-06,55,448.95,24692.25,LIFO,PENDING
TXN0230,ACC007,AAPL,SELL,2023-05-09,79,,,FIFO,PENDING
TXN0231,ACC050,AAPL,BUY,2022-10-28,32,605.41,19373.12,FIFO,PROCESSED
TXN0232,ACC044,META,BUY,2021-09-10,30,661.84,19855.2,FIFO,PROCESSED
TXN0233,ACC038,GOOGL,SELL,2023-02-12,85,440.94,37479.9,LIFO,PROCESSED
TXN0234,ACC021,NVDA,SELL,2020-11-01,7,779.22,5454.54,FIFO,ERROR
TXN0235,ACC046,GOOGL,SELL,2020-04-28,49,187.91,9207.59,SPEC_ID,PROCESSED
TXN0236,ACC014,META,BUY,2022-07-10,53,775.84,41119.52,FIFO,PROCESSED
TXN0237,ACC039,AAPL,BUY,2021-01-20,12,451.73,5420.76,SPEC_ID,PENDING
TXN0238,ACC020,AAPL,BUY,2021-01-24,93,553.59,51483.87,FIFO,PROCESSED
TXN0239,ACC014,NVDA,BUY,2023-02-04,96,799.68,76769.28,FIFO,PROCESSED
TXN0240,ACC024,JPM,SELL,2020-07-20,100,262.29,26229.0,LIFO,PROCESSED
TXN0241,ACC037,AMZN,BUY,2020-02-03,98,679.8,66620.4,FIFO,PENDING
TXN0242,ACC022,AMZN,SELL,2023-03-12,71,751.07,53325.97,FIFO,PROCESSED
TXN0243,ACC032,JPM,SELL,2020-12-10,64,462.98,29630.72,FIFO,ERROR
TXN0244,ACC042,AAPL,BUY,2024-09-14,22,154.97,3409.34,FIFO,PROCESSED
TXN0245,ACC005,GOOGL,BUY,2021-03-23,86,86.39,7429.54,SPEC_ID,PROCESSED
TXN0246,ACC031,JPM,BUY,2020-01-14,59,329.9,19464.1,SPEC_ID,PROCESSED
TXN0247,ACC019,AAPL,SELL,2024-07-09,71,358.5,25453.5,FIFO,PROCESSED
TXN0248,ACC017,META,SELL,2024-06-16,14,738.54,10339.56,LIFO,PROCESSED
TXN0249,ACC015,TSLA,BUY,2023-08-31,11,329.79,3627.69,FIFO,PROCESSED
TXN0250,ACC045,GOOGL,BUY,2022-10-20,12,353.96,4247.52,LIFO,PROCESSED
TXN0251,ACC034,AAPL,BUY,2021-03-08,83,638.28,52977.24,SPEC_ID,PROCESSED
TXN0252,ACC035,AAPL,BUY,2024-10-07,61,253.32,15452.52,FIFO,ERROR
TXN0253,ACC026,MSFT,SELL,2020-11-28,3,771.1,2313.3,SPEC_ID,PROCESSED
TXN0254,ACC025,GOOGL,BUY,2022-10-22,31,475.02,14725.62,FIFO,PENDING
TXN0255,ACC040,NVDA,SELL,2020-03-01,7,123.26,862.82,FIFO,PROCESSED
TXN0256,ACC044,NVDA,BUY,2024-04-30,58,417.95,24241.1,SPEC_ID,PROCESSED
TXN0257,ACC046,GOOGL,SELL,2021-10-10,38,648.54,24644.52,FIFO,PROCESSED
TXN0258,ACC007,GOOGL,BUY,2021-01-18,14,118.64,1660.96,LIFO,ERROR
TXN0259,ACC036,MSFT,SELL,2024-11-03,58,467.74,27128.92,LIFO,PROCESSED
TXN0260,ACC016,GOOGL,SELL,2020-12-13,2,268.89,537.78,FIFO,PROCESSED
TXN0261,ACC027,TSLA,SELL,2024-05-21,35,275.85,9654.75,FIFO,PROCESSED
TXN0262,ACC013,JPM,BUY,2020-10-04,47,238.77,11222.19,FIFO,PROCESSED
TXN0263,ACC022,JPM,SELL,2022-05-31,1,761.62,761.62,SPEC_ID,PROCESSED
TXN0264,ACC012,NVDA,SELL,2021-08-19,18,275.33,4955.94,LIFO,PROCESSED
TXN0265,ACC024,MSFT,BUY,2023-04-27,74,636.48,47099.52,SPEC_ID,PROCESSED
TXN0266,ACC046,AMZN,SELL,2024-06-21,24,561.28,13470.72,FIFO,PROCESSED
TXN0267,ACC009,TSLA,BUY,2021-06-01,89,101.87,9066.43,FIFO,PENDING
TXN0268,ACC038,NVDA,SELL,2023-01-18,92,367.35,33796.2,FIFO,PROCESSED
TXN0269,ACC007,AMZN,SELL,2020-12-06,47,576.23,27082.81,SPEC_ID,PENDING
TXN0270,ACC022,NVDA,BUY,2020-01-22,6,472.42,2834.52,FIFO,PROCESSED
TXN0271,ACC015,JPM,SELL,2022-03-12,34,216.5,7361.0,LIFO,PROCESSED
TXN0272,ACC031,MSFT,SELL,2022-05-01,99,559.67,55407.33,FIFO,PROCESSED
TXN0273,ACC014,JPM,SELL,2022-09-02,15,673.49,10102.35,FIFO,PROCESSED
TXN0274,ACC046,MSFT,BUY,2024-10-05,57,591.5,33715.5,FIFO,PROCESSED
TXN0275,ACC034,GOOGL,BUY,2021-11-08,83,132.02,10957.66,SPEC_ID,PENDING
TXN0276,ACC041,NVDA,SELL,2020-02-29,55,768.85,42286.75,SPEC_ID,PROCESSED
TXN0277,ACC018,MSFT,BUY,2024-06-25,26,,,SPEC_ID,PROCESSED
TXN0278,ACC032,META,SELL,2023-06-05,24,324.34,7784.16,LIFO,PROCESSED
TXN0279,ACC044,TSLA,BUY,2023-10-08,76,135.67,10310.92,FIFO,PROCESSED
