lot_id,account_id,ticker,acquisition_date,quantity,cost_per_share,cost_basis_total,is_closed
LOT0033,ACC017,META,2021-07-18,58,271.75,15761.5,True
LOT0034,ACC025,GOOGL,2023-12-14,100,528.52,52852.0,True
LOT0035,ACC050,AMZN,2020-10-18,80,692.62,55409.6,True
LOT0036,ACC025,AMZN,2021-12-09,85,775.37,65906.45,False
LOT0037,ACC040,TSLA,2020-10-22,99,463.6,45896.4,False
LOT0038,ACC007,MSFT,2019-03-31,83,291.52,24196.16,True
LOT0039,ACC013,MSFT,2021-09-21,23,705.12,16217.76,True
LOT0040,ACC042,NVDA,2022-09-09,13,73.86,960.18,False
LOT0041,ACC038,TSLA,2019-04-11,68,517.98,35222.64,False
LOT0042,ACC005,AAPL,2020-03-03,29,504.47,14629.63,False
LOT0043,ACC041,AAPL,2021-01-09,11,401.04,4411.44,False
LOT0044,ACC004,TSLA,2021-12-19,48,645.69,30993.12,True
LOT0045,ACC020,MSFT,2020-03-18,94,102.79,9662.26,True
LOT0046,ACC035,NVDA,2020-01-24,13,593.88,7720.44,True
LOT0047,ACC037,GOOGL,2022-02-17,68,542.66,36900.88,False
LOT0048,ACC041,META,2022-10-13,96,129.14,12397.44,False
LOT0049,ACC007,GOOGL,2023-06-11,90,548.93,49403.7,True
LOT0050,ACC022,GOOGL,2021-12-29,71,351.17,24933.07,False
LOT0051,ACC036,META,2023-09-27,46,726.86,33435.56,False
LOT0052,ACC028,META,2022-05-31,53,623.14,33026.42,True
LOT0053,ACC025,TSLA,2021-01-07,73,459.22,33523.06,False
LOT0054,ACC001,AAPL,2020-08-05,58,769.87,44652.46,True
LOT0055,ACC020,AAPL,2020-09-07,67,151.31,10137.77,True
LOT0056,ACC002,TSLA,2022-02-07,28,691.79,19370.12,True
LOT0057,ACC023,GOOGL,2019-10-11,13,78.3,1017.9,False
LOT0058,ACC016,AMZN,2020-06-08,47,717.22,33709.34,False
LOT0059,ACC037,AMZN,2023-02-12,12,477.87,5734.44,True
LOT0060,ACC031,GOOGL,2021-09-26,93,293.52,27297.36,True
LOT0061,ACC003,NVDA,2019-06-10,77,531.69,40940.13,True
LOT0062,ACC028,NVDA,2023-11-13,99,300.79,29778.21,True
LOT0063,ACC042,AAPL,2022-07-22,99,220.04,21783.96,False
LOT0064,ACC003,META,2022-01-10,7,278.59,1950.13,True
LOT0065,ACC015,GOOGL,2019-04-14,42,426.8,17925.6,False
LOT0066,ACC037,MSFT,2020-03-30,58,614.63,35648.54,False
LOT0067,ACC010,GOOGL,2020-11-19,38,639.78,24311.64,True
LOT0068,ACC004,NVDA,2020-06-21,61,478.58,29193.38,True
LOT0069,ACC050,GOOGL,2023-04-10,52,426.37,22171.24,True
LOT0070,ACC032,NVDA,2022-08-28,62,469.47,29107.14,True
LOT0071,ACC048,AMZN,2020-05-11,72,512.0,36864.0,True
LOT0072,ACC021,MSFT,2019-08-19,35,632.58,22140.3,False
LOT0073,ACC013,META,2020-12-06,55,323.95,17817.25,True
LOT0074,ACC023,JPM,2022-06-30,99,278.61,27582.39,True
LOT0075,ACC015,AMZN,2022-11-04,57,83.66,4768.62,False
LOT0076,ACC006,MSFT,2023-02-23,20,618.3,12366.0,True
LOT0077,ACC010,TSLA,2019-01-29,32,761.71,24374.72,False
LOT0078,ACC020,JPM,2021-08-22,89,653.21,58135.69,True
LOT0079,ACC035,AMZN,2020-02-22,43,206.76,8890.68,False
LOT0080,ACC047,GOOGL,2022-11-24,71,412.27,29271.17,True
LOT0081,ACC043,AAPL,2020-06-07,49,487.25,23875.25,True
LOT0082,ACC045,TSLA,2019-04-19,8,263.01,2104.08,False
LOT0083,ACC005,NVDA,2022-09-14,84,758.88,63745.92,False
LOT0084,ACC043,META,2023-11-06,85,689.06,58570.1,True
LOT0085,ACC042,NVDA,2020-04-18,3,269.37,808.11,False
LOT0086,ACC007,META,2021-09-19,66,782.46,51642.36,True
LOT0087,ACC030,AAPL,2019-03-23,24,199.16,4779.84,True
LOT0088,ACC032,NVDA,2023-03-05,68,278.7,18951.6,True
LOT0089,ACC023,META,2022-07-04,3,310.08,930.24,False
LOT0090,ACC033,TSLA,2023-07-21,31,797.0,24707.0,True
LOT0091,ACC025,AAPL,2022-02-10,81,243.26,19704.06,False
LOT0092,ACC026,GOOGL,2019-06-29,29,163.78,4749.62,False
LOT0093,ACC040,AMZN,2021-05-04,67,770.45,51620.15,True
LOT0094,ACC020,META,2021-07-08,74,164.56,12177.44,True
LOT0095,ACC038,AMZN,2023-11-02,27,539.35,14562.45,True
LOT0096,ACC034,GOOGL,2021-05-30,40,566.4,22656.0,True
LOT0097,ACC011,META,2019-05-19,84,749.77,62980.68,True
LOT0098,ACC010,AAPL,2023-04-17,24,288.2,6916.8,False
LOT0099,ACC020,JPM,2023-03-08,53,770.9,40857.7,False
LOT0100,ACC007,GOOGL,2020-01-14,20,634.33,12686.6,True
LOT0101,ACC040,TSLA,2022-05-25,98,789.47,77368.06,True
LOT0102,ACC044,AAPL,2021-01-05,77,224.14,17258.78,True
LOT0103,ACC009,JPM,2022-12-29,89,634.87,56503.43,False
LOT0104,ACC032,JPM,2019-10-09,24,689.1,16538.4,True
LOT0105,ACC027,AAPL,2020-07-06,25,219.7,5492.5,False
LOT0106,ACC013,AMZN,2019-05-16,29,606.77,17596.33,True
LOT0107,ACC032,META,2023-11-11,57,700.35,39919.95,False
LOT0108,ACC050,AAPL,2022-05-30,32,370.67,11861.44,False
LOT0109,ACC040,AAPL,2021-12-02,93,284.67,26474.31,True
LOT0110,ACC003,AMZN,2021-11-28,58,392.68,22775.44,False
LOT0111,ACC025,AAPL,2020-01-24,95,79.44,7546.8,False
LOT0112,ACC020,TSLA,2021-08-02,57,348.53,19866.21,True
LOT0113,ACC004,GOOGL,2021-08-07,55,270.81,14894.55,False
LOT0114,ACC008,GOOGL,2023-05-14,12,591.99,7103.88,True
LOT0115,ACC029,AAPL,2020-01-02,51,360.17,18368.67,False
LOT0116,ACC013,JPM,2019-07-04,76,722.46,54906.96,False
LOT0117,ACC046,GOOGL,2023-01-11,42,568.79,23889.18,True
LOT0118,ACC029,META,2019-06-24,12,135.62,1627.44,False
LOT0119,ACC033,GOOGL,2021-02-14,94,643.3,60470.2,False
LOT0120,ACC022,GOOGL,2019-11-29,6,626.2,3757.2,True
LOT0121,ACC004,NVDA,2020-09-22,23,626.87,14418.01,False
LOT0122,ACC029,TSLA,2022-07-06,94,626.47,58888.18,True
LOT0123,ACC013,AAPL,2022-06-29,16,723.91,11582.56,False
LOT0124,ACC032,AAPL,2022-05-30,2,393.98,787.96,False
LOT0125,ACC043,JPM,2021-07-18,31,212.66,6592.46,False
LOT0126,ACC039,AAPL,2020-05-16,57,109.55,6244.35,False
LOT0127,ACC014,AAPL,2020-01-14,80,521.48,41718.4,True
LOT0128,ACC003,GOOGL,2023-10-15,8,539.96,4319.68,True
LOT0129,ACC039,TSLA,2020-11-09,86,483.57,41587.02,True
LOT0130,ACC012,GOOGL,2022-10-08,7,131.67,921.69,False
LOT0131,ACC045,GOOGL,2021-07-21,79,545.69,43109.51,False
LOT0132,ACC020,META,2021-01-24,5,119.84,599.2,False
LOT0133,ACC036,MSFT,2020-08-22,9,618.83,5569.47,False
LOT0134,ACC018,META,2021-12-15,18,141.52,2547.36,False
LOT0135,ACC014,AAPL,2019-08-12,68,207.38,14101.84,True
LOT0136,ACC039,TSLA,2021-05-24,62,593.06,36769.72,False
LOT0137,ACC040,META,2019-09-23,34,444.04,15097.36,False
LOT0138,ACC032,JPM,2023-07-13,67,596.89,39991.63,True
LOT0139,ACC019,AMZN,2019-01-04,79,224.54,17738.66,True
LOT0140,ACC008,AMZN,2023-06-26,4,398.66,1594.64,False
LOT0141,ACC023,AMZN,2019-01-24,53,84.12,4458.36,True
LOT0142,ACC005,TSLA,2020-09-06,89,261.22,23248.58,False
LOT0143,ACC044,META,2020-11-30,99,54.6,5405.4,False
LOT0144,ACC002,GOOGL,2020-02-02,93,476.69,44332.17,False
LOT0145,ACC031,JPM,2023-06-21,44,741.71,32635.24,True
LOT0146,ACC010,JPM,2023-11-07,83,151.82,12601.06,False
LOT0147,ACC027,AAPL,2023-09-07,60,637.99,38279.4,False
LOT0148,ACC021,AAPL,2020-03-02,73,593.72,43341.56,False
LOT0149,ACC010,TSLA,2023-09-18,46,99.66,4584.36,True
LOT0150,ACC041,GOOGL,2022-03-15,44,787.71,34659.24,False
LOT0151,ACC049,TSLA,2022-12-15,24,496.39,11913.36,False
LOT0152,ACC027,MSFT,2021-10-14,91,73.72,6708.52,True
LOT0153,ACC020,AMZN,2021-12-11,48,388.93,18668.64,False
LOT0154,ACC003,AMZN,2019-07-09,23,134.17,3085.91,False
LOT0155,ACC031,GOOGL,2020-01-25,65,68.7,4465.5,False
LOT0156,ACC034,TSLA,2023-05-08,62,599.33,37158.46,False
LOT0157,ACC007,GOOGL,2020-02-25,19,627.11,11915.09,True
LOT0158,ACC034,MSFT,2019-01-09,59,340.69,20100.71,False
LOT0159,ACC039,MSFT,2020-11-13,6,565.29,3391.74,False
LOT0160,ACC050,TSLA,2019-02-16,6,127.33,763.98,False
LOT0161,ACC021,AMZN,2020-01-30,82,719.1,58966.2,False
LOT0162,ACC050,JPM,2022-10-06,36,449.21,16171.56,True
LOT0163,ACC018,MSFT,2019-02-01,35,161.99,5669.65,True
LOT0164,ACC036,META,2020-07-09,27,456.9,12336.3,True
LOT0165,ACC037,AMZN,2019-12-17,91,653.0,59423.0,True
LOT0166,ACC022,JPM,2019-04-14,40,509.95,20398.0,True
LOT0167,ACC044,AAPL,2019-08-05,4,403.05,1612.2,False
LOT0168,ACC026,GOOGL,2022-12-14,7,114.59,802.13,False
LOT0169,ACC022,AMZN,2022-12-31,79,316.72,25020.88,True
LOT0170,ACC037,GOOGL,2019-07-10,97,623.32,60462.04,False
LOT0171,ACC044,JPM,2021-08-21,13,391.69,5091.97,True
LOT0172,ACC040,TSLA,2021-01-14,29,157.79,4575.91,False
LOT0173,ACC043,META,2023-06-04,24,574.71,13793.04,False
LOT0174,ACC005,JPM,2019-08-20,59,415.63,24522.17,False
LOT0175,ACC011,TSLA,2023-04-22,62,395.93,24547.66,False
LOT0176,ACC033,MSFT,2021-04-10,78,481.01,37518.78,True
LOT0177,ACC005,TSLA,2021-12-27,42,467.11,19618.62,False
LOT0178,ACC016,AMZN,2022-01-27,52,492.9,25630.8,True
LOT0179,ACC022,AMZN,2023-07-25,62,337.86,20947.32,False
LOT0180,ACC022,AMZN,2019-12-21,56,475.41,26622.96,True
LOT0181,ACC037,JPM,2019-08-23,95,748.15,71074.25,False
LOT0182,ACC029,GOOGL,2020-09-22,42,466.32,19585.44,False
LOT0183,ACC044,NVDA,2020-11-01,9,498.69,4488.21,False
LOT0184,ACC006,AMZN,2023-08-01,83,545.12,45244.96,True
LOT0185,ACC041,AAPL,2023-03-31,75,727.44,54558.0,True
LOT0186,ACC035,TSLA,2021-03-09,85,161.91,13762.35,False
LOT0187,ACC021,TSLA,2022-03-13,26,204.25,5310.5,False
LOT0188,ACC023,MSFT,2022-04-08,56,588.34,32947.04,True
LOT0189,ACC026,GOOGL,2023-10-12,79,789.82,62395.78,False
LOT0190,ACC036,AAPL,2019-01-02,8,326.92,2615.36,False
LOT0191,ACC002,AMZN,2021-06-03,15,695.94,10439.1,False
LOT0192,ACC025,NVDA,2021-02-20,81,288.6,23376.6,False
LOT0193,ACC012,JPM,2019-10-12,70,208.41,14588.7,True
LOT0194,ACC024,NVDA,2019-11-12,72,338.45,24368.4,False
LOT0195,ACC001,MSFT,2022-08-20,86,144.16,12397.76,True
LOT0196,ACC032,NVDA,2019-10-06,19,591.0,11229.0,True
LOT0197,ACC027,JPM,2023-06-04,18,531.68,9570.24,False
LOT0198,ACC033,NVDA,2022-02-04,80,184.85,14788.0,False
LOT0199,ACC012,NVDA,2022-05-23,50,316.48,15824.0,True
LOT0200,ACC047,AMZN,2022-12-29,74,423.62,31347.88,False
LOT0201,ACC037,META,2019-03-10,53,744.92,39480.76,True
LOT0202,ACC024,MSFT,2022-04-03,73,412.45,30108.85,False
LOT0203,ACC047,TSLA,2021-08-10,89,110.05,9794.45,True
LOT0204,ACC006,AMZN,2021-08-25,67,717.44,48068.48,True
LOT0205,ACC038,TSLA,2022-06-09,88,525.27,46223.76,True
LOT0206,ACC001,JPM,2021-07-18,44,451.27,19855.88,False
LOT0207,ACC027,META,2023-06-23,74,600.36,44426.64,False
LOT0208,ACC045,TSLA,2023-01-28,38,175.63,6673.94,False
LOT0209,ACC038,GOOGL,2022-03-19,8,521.98,4175.84,True
LOT0210,ACC048,AAPL,2020-08-10,85,792.77,67385.45,False
LOT0211,ACC005,TSLA,2020-05-31,11,145.12,1596.32,True
LOT0212,ACC017,AAPL,2023-02-27,79,260.73,20597.67,True
LOT0213,ACC038,GOOGL,2022-09-11,78,180.96,14114.88,False
LOT0214,ACC017,AMZN,2021-09-20,48,655.88,31482.24,True
LOT0215,ACC022,MSFT,2019-10-25,68,696.51,47362.68,True
LOT0216,ACC027,NVDA,2020-05-02,64,614.57,39332.48,False
LOT0217,ACC014,META,2019-04-22,93,528.18,49120.74,False
LOT0218,ACC004,GOOGL,2021-08-08,97,664.65,64471.05,False
LOT0219,ACC048,AMZN,2021-02-16,61,276.03,16837.83,False
LOT0220,ACC034,NVDA,2019-01-25,61,246.97,15065.17,False
LOT0221,ACC021,AAPL,2019-07-19,58,336.5,19517.0,False
LOT0222,ACC042,TSLA,2020-11-17,56,507.86,28440.16,False
LOT0223,ACC017,NVDA,2021-08-02,35,651.74,22810.9,True
LOT0224,ACC050,AMZN,2021-11-30,94,553.92,52068.48,False
LOT0225,ACC012,META,2022-01-26,87,567.71,49390.77,True
LOT0226,ACC005,AAPL,2021-04-22,87,56.36,4903.32,True
LOT0227,ACC029,META,2020-03-25,68,127.93,8699.24,False
LOT0228,ACC002,MSFT,2019-04-27,33,194.81,6428.73,True
LOT0229,ACC046,MSFT,2019-06-26,77,528.56,40699.12,True
LOT0230,ACC042,GOOGL,2019-08-16,49,542.3,26572.7,True
LOT0231,ACC043,MSFT,2022-08-01,33,270.93,8940.69,False
LOT0232,ACC045,META,2020-06-11,36,627.02,22572.72,True
LOT0233,ACC050,AAPL,2021-02-22,100,105.5,10550.0,False
LOT0234,ACC017,TSLA,2019-12-31,43,796.97,34269.71,False
LOT0235,ACC013,NVDA,2020-01-01,9,418.79,3769.11,False
LOT0236,ACC050,NVDA,2020-03-23,14,157.9,2210.6,True
LOT0237,ACC007,AAPL,2019-05-30,57,586.55,33433.35,True
LOT0238,ACC050,JPM,2019-02-08,74,595.66,44078.84,False
LOT0239,ACC001,AAPL,2022-09-23,20,539.65,10793.0,False
LOT0240,ACC022,NVDA,2022-03-22,35,163.71,5729.85,True
LOT0241,ACC050,JPM,2021-09-06,66,580.7,38326.2,False
LOT0242,ACC050,MSFT,2022-01-11,52,683.04,35518.08,True
LOT0243,ACC045,JPM,2019-09-06,1,338.32,338.32,False
LOT0244,ACC026,AAPL,2022-07-18,43,561.38,24139.34,True
LOT0245,ACC022,MSFT,2023-09-19,47,450.97,21195.59,False
LOT0246,ACC042,AMZN,2019-12-28,98,624.88,61238.24,True
LOT0247,ACC020,NVDA,2019-08-07,50,545.55,27277.5,False
LOT0248,ACC041,JPM,2023-02-14,63,113.65,7159.95,True
LOT0249,ACC002,AMZN,2021-09-28,18,76.77,1381.86,False
LOT0250,ACC042,TSLA,2021-10-20,9,644.55,5800.95,False
LOT0251,ACC004,META,2023-06-02,3,77.78,233.34,True
LOT0252,ACC042,JPM,2022-10-20,52,138.64,7209.28,True
LOT0253,ACC005,AAPL,2023-02-15,95,484.51,46028.45,True
LOT0254,ACC031,AAPL,2020-05-12,63,540.37,34043.31,True
LOT0255,ACC004,TSLA,2023-08-08,2,179.19,358.38,True
LOT0256,ACC038,MSFT,2023-08-02,59,508.42,29996.78,True
LOT0257,ACC040,AMZN,2019-05-10,15,422.86,6342.9,True
LOT0258,ACC048,NVDA,2020-10-26,55,303.01,16665.55,True
LOT0259,ACC009,META,2023-09-10,88,481.98,42414.24,True
LOT0260,ACC012,META,2019-05-10,98,84.19,8250.62,True
LOT0261,ACC027,GOOGL,2022-11-27,36,155.93,5613.48,False
LOT0262,ACC016,AAPL,2019-10-01,71,173.75,12336.25,True
LOT0263,ACC050,GOOGL,2019-02-02,81,509.33,41255.73,False
LOT0264,ACC012,MSFT,2022-12-18,11,54.76,602.36,False
LOT0265,ACC050,JPM,2022-11-18,54,570.13,30787.02,True
LOT0266,ACC018,JPM,2021-04-23,27,157.32,4247.64,True
LOT0267,ACC003,GOOGL,2023-01-08,23,507.9,11681.7,False
LOT0268,ACC041,TSLA,2020-12-13,79,762.72,60254.88,False
LOT0269,ACC013,MSFT,2021-12-21,1,468.28,468.28,True
LOT0270,ACC049,AMZN,2021-08-08,80,321.43,25714.4,True
LOT0271,ACC008,GOOGL,2022-11-04,36,89.8,3232.8,False
LOT0272,ACC043,AAPL,2019-04-21,64,182.24,11663.36,False
LOT0273,ACC017,META,2022-06-17,37,207.19,7666.03,False
LOT0274,ACC004,GOOGL,2019-11-20,6,128.32,769.92,True
LOT0275,ACC005,AMZN,2023-01-17,63,436.18,27479.34,False
LOT0276,ACC027,AMZN,2023-03-11,76,484.82,36846.32,False
LOT0277,ACC021,AMZN,2019-07-20,30,634.23,19026.9,True
LOT0278,ACC013,NVDA,2023-12-31,95,359.45,34147.75,True
LOT0279,ACC032,AAPL,2023-12-29,10,403.24,4032.4,False
LOT0280,ACC040,JPM,2019-12-31,19,212.12,4030.28,False
LOT0281,ACC047,AMZN,2022-07-18,48,152.3,7310.4,False
LOT0282,ACC009,AAPL,2022-11-18,35,201.66,7058.1,True
LOT0283,ACC030,JPM,2021-05-06,36,152.38,5485.68,True
LOT0284,ACC019,GOOGL,2023-06-05,98,307.68,30152.64,True
LOT0285,ACC015,MSFT,2021-04-23,74,777.6,57542.4,False
LOT0286,ACC030,TSLA,2019-01-30,28,493.69,13823.32,False
LOT0287,ACC016,META,2021-06-08,95,704.45,66922.75,True
LOT0288,ACC037,AAPL,2021-05-05,76,759.69,57736.44,True
LOT0289,ACC047,AAPL,2021-05-21,6,793.46,4760.76,False
LOT0290,ACC045,MSFT,2021-07-15,62,657.29,40751.98,False
LOT0291,ACC049,AAPL,2022-11-20,31,112.32,3481.92,False
LOT0292,ACC019,AMZN,2022-08-19,28,149.53,4186.84,True
LOT0293,ACC020,GOOGL,2022-12-11,3,409.84,1229.52,False
LOT0294,ACC002,JPM,2021-08-07,74,610.47,45174.78,True
LOT0295,ACC024,JPM,2022-12-12,91,354.02,32215.82,True
LOT0296,ACC045,META,2021-12-23,81,103.02,8344.62,True
LOT0297,ACC018,AMZN,2023-06-02,38,369.43,14038.34,True
LOT0298,ACC048,AAPL,2021-11-20,80,710.64,56851.2,False
LOT0299,ACC024,JPM,2022-06-21,7,133.22,932.54,True
LOT0300,ACC042,MSFT,2022-02-22,47,324.82,15266.54,True
