report_id,account_id,ticker,sale_date,proceeds,cost_basis,gain_loss,holding_period,reported_to_irs,status
RPT0024,ACC009,AMZN,2023-01-16,28012.79,34207.76,-6194.97,LONG,False,DISCREPANCY
RPT0025,ACC038,TSLA,2024-10-08,27916.41,2410.29,25506.12,LONG,True,DISCREPANCY
RPT0026,ACC041,JPM,2022-09-12,1828.58,516.46,1312.12,LONG,False,VALID
RPT0027,ACC002,MSFT,2023-07-22,9378.93,43563.36,-34184.43,LONG,True,VALID
RPT0028,ACC028,TSLA,2024-09-01,30145.12,17619.75,12525.37,SHORT,False,VALID
RPT0029,ACC011,AAPL,2022-10-27,25870.03,27782.55,-1912.52,LONG,False,DISCREPANCY
RPT0030,ACC018,META,2024-05-09,43976.7,6849.68,37127.02,LONG,True,VALID
RPT0031,ACC033,AMZN,2023-01-11,14847.88,,,SHORT,True,MISSING_BASIS
RPT0032,ACC044,TSLA,2023-07-10,27413.76,41928.29,-14514.53,LONG,True,DISCREPANCY
RPT0033,ACC009,TSLA,2024-02-03,26953.81,17137.56,9816.25,LONG,False,VALID
RPT0034,ACC010,AMZN,2023-01-21,17345.5,43753.51,-26408.01,SHORT,False,VALID
RPT0035,ACC002,JPM,2023-12-15,23294.32,4036.66,19257.66,LONG,False,DISCREPANCY
RPT0036,ACC034,META,2022-12-19,7381.19,,,LONG,True,MISSING_BASIS
RPT0037,ACC045,GOOGL,2023-04-10,37350.78,6045.21,31305.57,LONG,True,VALID
RPT0038,ACC049,MSFT,2022-06-09,10887.13,47100.82,-36213.69,SHORT,False,VALID
RPT0039,ACC043,AAPL,2024-08-18,37988.03,2423.81,35564.22,SHORT,False,VALID
RPT0040,ACC007,MSFT,2023-02-25,2642.43,14758.34,-12115.91,SHORT,True,VALID
RPT0041,ACC048,TSLA,2023-12-14,33694.73,1792.73,31902.0,LONG,True,VALID
RPT0042,ACC033,MSFT,2022-07-22,42829.34,37566.18,5263.16,SHORT,True,VALID
RPT0043,ACC049,AAPL,2022-07-22,35932.68,46298.96,-10366.28,SHORT,False,VALID
RPT0044,ACC007,GOOGL,2023-12-28,18639.92,28454.52,-9814.6,LONG,False,VALID
RPT0045,ACC021,MSFT,2024-08-12,11106.56,11231.58,-125.02,SHORT,True,VALID
RPT0046,ACC047,AAPL,2022-06-18,25042.89,17595.52,7447.37,LONG,False,VALID
RPT0047,ACC020,JPM,2023-04-08,6228.27,13899.9,-7671.63,LONG,False,VALID
RPT0048,ACC031,META,2023-01-03,49255.64,20770.98,28484.66,SHORT,False,DISCREPANCY
RPT0049,ACC044,MSFT,2022-09-02,33768.73,19267.2,14501.53,SHORT,False,VALID
RPT0050,ACC011,MSFT,2024-01-15,20330.9,28510.52,-8179.62,SHORT,False,VALID
RPT0051,ACC015,NVDA,2024-10-19,10413.04,40575.8,-30162.76,LONG,False,VALID
RPT0052,ACC023,JPM,2024-04-08,37937.0,,,LONG,False,MISSING_BASIS
RPT0053,ACC032,JPM,2023-04-18,7795.02,22040.61,-14245.59,SHORT,True,VALID
RPT0054,ACC044,AAPL,2023-01-02,5430.37,2915.78,2514.59,LONG,False,VALID
RPT0055,ACC005,JPM,2024-08-12,8060.46,30005.62,-21945.16,SHORT,False,VALID
RPT0056,ACC022,AAPL,2022-03-06,33273.62,23735.92,9537.7,LONG,True,VALID
RPT0057,ACC030,AAPL,2022-03-09,19489.68,15373.02,4116.66,SHORT,False,VALID
RPT0058,ACC020,NVDA,2024-09-25,44292.66,8213.27,36079.39,SHORT,False,VALID
RPT0059,ACC031,GOOGL,2024-11-03,33173.89,33023.81,150.08,SHORT,False,VALID
RPT0060,ACC044,META,2023-08-06,13537.85,28533.75,-14995.9,LONG,True,VALID
RPT0061,ACC023,AAPL,2023-11-30,1893.28,2547.64,-654.36,LONG,True,DISCREPANCY
RPT0062,ACC004,AMZN,2023-05-23,21693.34,47616.61,-25923.27,SHORT,False,VALID
RPT0063,ACC020,MSFT,2023-11-23,29830.32,43734.52,-13904.2,SHORT,True,VALID
RPT0064,ACC028,NVDA,2023-07-01,27151.63,2179.17,24972.46,SHORT,False,VALID
RPT0065,ACC025,META,2022-07-20,29605.47,47322.4,-17716.93,LONG,True,VALID
RPT0066,ACC049,META,2022-12-08,34697.77,10201.24,24496.53,LONG,False,VALID
RPT0067,ACC005,AMZN,2023-08-12,48486.67,10003.71,38482.96,LONG,True,VALID
RPT0068,ACC040,MSFT,2022-07-14,15217.35,27699.58,-12482.23,LONG,False,DISCREPANCY
RPT0069,ACC014,META,2022-06-07,3829.85,38536.44,-34706.59,LONG,False,VALID
RPT0070,ACC026,TSLA,2024-11-21,21929.07,26101.5,-4172.43,LONG,True,VALID
RPT0071,ACC012,JPM,2023-03-13,44104.38,30285.37,13819.01,LONG,False,VALID
RPT0072,ACC050,NVDA,2022-05-03,46889.56,25757.44,21132.12,SHORT,False,VALID
RPT0073,ACC049,TSLA,2024-06-10,23393.09,11841.8,11551.29,LONG,False,VALID
RPT0074,ACC027,TSLA,2023-08-11,43079.2,43770.16,-690.96,SHORT,False,VALID
RPT0075,ACC010,AMZN,2022-02-26,34499.32,11639.78,22859.54,SHORT,False,VALID
RPT0076,ACC042,AAPL,2023-02-18,23475.91,27047.67,-3571.76,SHORT,False,VALID
RPT0077,ACC043,GOOGL,2022-03-28,7253.32,12699.69,-5446.37,LONG,True,DISCREPANCY
RPT0078,ACC020,MSFT,2024-04-13,3238.7,43073.66,-39834.96,LONG,True,VALID
RPT0079,ACC016,MSFT,2024-10-21,20146.31,40374.98,-20228.67,SHORT,False,DISCREPANCY
RPT0080,ACC050,META,2023-11-06,25074.33,4695.84,20378.49,LONG,True,VALID
RPT0081,ACC014,TSLA,2024-06-19,46807.25,10777.2,36030.05,LONG,False,VALID
RPT0082,ACC045,MSFT,2023-10-11,43213.55,3062.05,40151.5,LONG,False,VALID
RPT0083,ACC010,META,2024-08-31,34295.55,46253.81,-11958.26,LONG,False,DISCREPANCY
RPT0084,ACC048,AAPL,2023-05-06,1543.17,46419.93,-44876.76,LONG,False,VALID
RPT0085,ACC044,MSFT,2024-12-31,15808.79,46023.82,-30215.03,SHORT,False,VALID
RPT0086,ACC017,TSLA,2022-07-04,19729.32,43705.96,-23976.64,SHORT,False,VALID
RPT0087,ACC041,META,2024-04-12,10914.13,,,SHORT,False,MISSING_BASIS
RPT0088,ACC031,NVDA,2023-11-13,43389.01,,,LONG,True,MISSING_BASIS
RPT0089,ACC023,NVDA,2023-11-01,41307.84,33647.75,7660.09,LONG,True,VALID
RPT0090,ACC029,GOOGL,2022-01-07,38217.78,30929.35,7288.43,LONG,True,VALID
RPT0091,ACC011,AMZN,2024-11-23,31600.67,15333.16,16267.51,SHORT,False,VALID
RPT0092,ACC048,GOOGL,2023-06-18,39735.79,15603.4,24132.39,SHORT,False,VALID
RPT0093,ACC012,NVDA,2024-02-12,40076.67,9856.39,30220.28,SHORT,True,VALID
RPT0094,ACC041,AMZN,2022-07-02,47431.41,44340.15,3091.26,LONG,True,VALID
RPT0095,ACC040,NVDA,2023-06-17,13458.27,40947.15,-27488.88,SHORT,True,VALID
RPT0096,ACC001,NVDA,2024-07-18,47922.63,8497.85,39424.78,LONG,True,VALID
RPT0097,ACC018,TSLA,2024-10-09,11611.96,,,LONG,True,MISSING_BASIS
RPT0098,ACC019,AMZN,2024-05-06,21849.78,10234.44,11615.34,SHORT,False,VALID
RPT0099,ACC016,JPM,2023-05-24,39726.94,,,LONG,False,MISSING_BASIS
RPT0100,ACC045,NVDA,2023-03-11,4744.06,22718.76,-17974.7,LONG,False,DISCREPANCY
RPT0101,ACC004,AAPL,2023-11-13,36937.15,12596.34,24340.81,SHORT,False,VALID
RPT0102,ACC039,AAPL,2022-01-11,45457.21,,,LONG,False,MISSING_BASIS
RPT0103,ACC036,AAPL,2023-01-03,15474.11,19187.57,-3713.46,LONG,True,VALID
RPT0104,ACC009,MSFT,2023-10-12,25435.46,44683.56,-19248.1,LONG,True,DISCREPANCY
RPT0105,ACC032,TSLA,2024-01-09,13390.1,,,LONG,False,MISSING_BASIS
RPT0106,ACC017,META,2024-06-11,45188.24,12929.1,32259.14,SHORT,False,DISCREPANCY
RPT0107,ACC036,JPM,2022-04-19,36975.03,,,SHORT,True,MISSING_BASIS
RPT0108,ACC011,JPM,2024-06-12,3201.07,9117.53,-5916.46,SHORT,False,VALID
RPT0109,ACC032,JPM,2024-10-06,2519.19,17370.36,-14851.17,SHORT,True,VALID
RPT0110,ACC012,GOOGL,2024-11-07,6620.88,4854.31,1766.57,LONG,True,DISCREPANCY
RPT0111,ACC037,GOOGL,2024-05-02,29385.6,46649.46,-17263.86,SHORT,True,VALID
RPT0112,ACC002,TSLA,2022-09-07,38528.54,32620.85,5907.69,LONG,False,DISCREPANCY
RPT0113,ACC010,AAPL,2022-06-16,29721.76,45678.06,-15956.3,LONG,False,DISCREPANCY
RPT0114,ACC001,META,2022-03-31,22975.75,45867.59,-22891.84,LONG,False,VALID
RPT0115,ACC037,GOOGL,2023-03-09,47397.21,,,SHORT,False,MISSING_BASIS
RPT0116,ACC039,NVDA,2022-07-09,16496.96,3043.47,13453.49,LONG,False,VALID
RPT0117,ACC006,AAPL,2023-03-03,9311.53,46336.35,-37024.82,SHORT,False,DISCREPANCY
RPT0118,ACC042,GOOGL,2022-09-04,39084.88,13962.95,25121.93,LONG,False,DISCREPANCY
RPT0119,ACC044,GOOGL,2024-01-06,40154.47,,,SHORT,False,MISSING_BASIS
RPT0120,ACC031,TSLA,2024-05-16,25876.33,23706.06,2170.27,SHORT,False,DISCREPANCY
RPT0121,ACC028,MSFT,2022-03-24,40644.22,29620.11,11024.11,LONG,False,VALID
RPT0122,ACC032,MSFT,2023-08-19,33983.78,31226.27,2757.51,LONG,False,VALID
RPT0123,ACC009,TSLA,2023-05-25,4419.56,38553.53,-34133.97,LONG,False,VALID
RPT0124,ACC033,MSFT,2024-11-11,28642.52,,,LONG,False,MISSING_BASIS
RPT0125,ACC017,META,2023-06-06,5176.98,31856.71,-26679.73,SHORT,True,VALID
RPT0126,ACC012,NVDA,2022-04-03,6139.81,31891.13,-25751.32,SHORT,False,VALID
RPT0127,ACC030,JPM,2023-06-27,43899.39,14568.02,29331.37,LONG,True,VALID
RPT0128,ACC017,MSFT,2024-06-07,10947.88,,,SHORT,True,MISSING_BASIS
RPT0129,ACC030,NVDA,2024-09-23,20049.23,1033.3,19015.93,LONG,False,VALID
RPT0130,ACC020,MSFT,2022-09-14,34687.78,46245.54,-11557.76,SHORT,True,VALID
RPT0131,ACC013,AAPL,2023-03-05,9944.7,39240.09,-29295.39,LONG,True,VALID
RPT0132,ACC035,AMZN,2022-06-26,32662.12,21143.53,11518.59,LONG,False,VALID
RPT0133,ACC010,JPM,2024-09-20,7834.2,20481.45,-12647.25,LONG,True,VALID
RPT0134,ACC037,NVDA,2022-04-15,43059.92,28256.77,14803.15,LONG,True,VALID
RPT0135,ACC027,JPM,2023-08-19,5581.84,40747.17,-35165.33,SHORT,False,VALID
RPT0136,ACC044,JPM,2023-04-20,20284.18,24835.73,-4551.55,SHORT,True,VALID
RPT0137,ACC042,NVDA,2024-08-27,21389.23,15434.47,5954.76,SHORT,False,VALID
RPT0138,ACC028,AAPL,2022-11-27,31323.49,31158.16,165.33,LONG,True,VALID
RPT0139,ACC038,META,2024-08-17,23727.4,21254.07,2473.33,SHORT,False,VALID
RPT0140,ACC044,META,2024-08-25,36288.25,18981.67,17306.58,SHORT,True,VALID
RPT0141,ACC009,GOOGL,2023-02-13,14481.63,36064.5,-21582.87,SHORT,False,VALID
RPT0142,ACC020,AMZN,2023-03-05,5494.73,,,SHORT,True,MISSING_BASIS
RPT0143,ACC012,AAPL,2022-05-11,18259.94,12814.46,5445.48,LONG,False,VALID
RPT0144,ACC032,TSLA,2023-11-28,6141.48,11190.46,-5048.98,LONG,True,VALID
RPT0145,ACC045,MSFT,2022-04-14,38619.7,26914.26,11705.44,LONG,False,DISCREPANCY
RPT0146,ACC040,MSFT,2022-03-27,48151.03,,,SHORT,True,MISSING_BASIS
RPT0147,ACC011,TSLA,2024-06-23,31681.34,,,LONG,True,MISSING_BASIS
RPT0148,ACC008,AMZN,2024-06-18,8137.64,17713.88,-9576.24,LONG,True,DISCREPANCY
RPT0149,ACC033,GOOGL,2022-06-24,12643.15,38915.31,-26272.16,LONG,False,VALID
RPT0150,ACC016,GOOGL,2024-12-20,35902.39,20154.41,15747.98,LONG,True,VALID
RPT0151,ACC030,META,2022-03-02,7330.72,,,LONG,True,MISSING_BASIS
RPT0152,ACC005,MSFT,2023-11-24,38622.52,34558.99,4063.53,LONG,False,VALID
RPT0153,ACC049,AAPL,2022-11-06,49106.27,8221.85,40884.42,SHORT,False,VALID
RPT0154,ACC020,META,2023-12-06,21255.61,42563.26,-21307.65,SHORT,False,VALID
RPT0155,ACC026,JPM,2023-02-25,45060.32,29455.09,15605.23,LONG,False,VALID
RPT0156,ACC013,TSLA,2022-06-22,44439.91,37602.4,6837.51,SHORT,False,VALID
RPT0157,ACC034,TSLA,2023-03-14,19804.68,34618.71,-14814.03,SHORT,False,DISCREPANCY
RPT0158,ACC002,TSLA,2023-05-10,26306.13,36435.41,-10129.28,LONG,False,VALID
RPT0159,ACC024,TSLA,2024-11-05,49354.26,5657.03,43697.23,LONG,True,VALID
RPT0160,ACC020,AAPL,2024-07-17,2862.78,31385.81,-28523.03,LONG,True,VALID
RPT0161,ACC041,AMZN,2023-12-19,40366.68,47476.4,-7109.72,LONG,False,VALID
RPT0162,ACC009,NVDA,2024-11-30,33512.66,39197.77,-5685.11,SHORT,True,VALID
RPT0163,ACC024,JPM,2022-07-20,16728.42,28120.77,-11392.35,SHORT,False,DISCREPANCY
RPT0164,ACC009,JPM,2023-03-16,41507.66,4300.68,37206.98,LONG,True,VALID
RPT0165,ACC034,NVDA,2023-06-25,18780.06,25449.77,-6669.71,LONG,False,VALID
RPT0166,ACC047,NVDA,2022-11-30,49827.33,,,SHORT,True,MISSING_BASIS
RPT0167,ACC033,MSFT,2023-03-12,24495.84,,,LONG,False,MISSING_BASIS
RPT0168,ACC008,NVDA,2022-08-14,2114.07,7865.57,-5751.5,SHORT,False,VALID
RPT0169,ACC024,TSLA,2024-02-06,28802.36,2317.43,26484.93,LONG,False,VALID
RPT0170,ACC038,NVDA,2022-04-10,24553.31,38061.3,-13507.99,LONG,False,VALID
RPT0171,ACC008,META,2022-05-19,11171.28,39390.35,-28219.07,SHORT,False,VALID
RPT0172,ACC022,NVDA,2024-08-31,24318.23,15141.81,9176.42,SHORT,True,VALID
RPT0173,ACC029,GOOGL,2023-10-29,25485.81,22340.56,3145.25,SHORT,False,VALID
RPT0174,ACC003,JPM,2023-07-23,19668.14,43251.63,-23583.49,SHORT,True,VALID
RPT0175,ACC046,TSLA,2022-09-11,35506.83,27626.95,7879.88,SHORT,True,DISCREPANCY
RPT0176,ACC037,AMZN,2024-09-01,47780.83,26191.31,21589.52,SHORT,True,DISCREPANCY
RPT0177,ACC018,AMZN,2023-05-18,33083.59,,,LONG,True,MISSING_BASIS
RPT0178,ACC003,JPM,2022-02-17,40442.59,29286.29,11156.3,LONG,False,VALID
RPT0179,ACC025,TSLA,2022-07-06,9435.15,1545.11,7890.04,SHORT,True,VALID
RPT0180,ACC050,MSFT,2022-11-12,27318.07,13982.74,13335.33,LONG,False,VALID
RPT0181,ACC012,AAPL,2022-04-30,34091.12,,,LONG,False,MISSING_BASIS
RPT0182,ACC017,NVDA,2022-09-05,5387.84,7181.12,-1793.28,SHORT,True,DISCREPANCY
RPT0183,ACC033,NVDA,2022-08-24,12361.34,28817.42,-16456.08,LONG,True,VALID
RPT0184,ACC002,NVDA,2023-04-24,16257.65,26728.56,-10470.91,SHORT,False,VALID
RPT0185,ACC049,GOOGL,2023-09-16,27926.73,28301.82,-375.09,LONG,False,VALID
RPT0186,ACC010,META,2022-12-11,4653.46,30664.03,-26010.57,SHORT,False,VALID
RPT0187,ACC030,TSLA,2022-12-09,48086.93,26825.25,21261.68,SHORT,True,VALID
RPT0188,ACC044,NVDA,2023-12-21,46708.59,23352.07,23356.52,SHORT,False,VALID
RPT0189,ACC020,MSFT,2024-03-20,2751.49,35585.11,-32833.62,SHORT,True,VALID
RPT0190,ACC014,META,2023-12-03,36391.15,47943.89,-11552.74,LONG,False,DISCREPANCY
RPT0191,ACC014,JPM,2023-11-04,14014.15,31924.39,-17910.24,SHORT,True,VALID
RPT0192,ACC001,GOOGL,2024-04-26,32498.94,497.46,32001.48,LONG,False,VALID
RPT0193,ACC005,AAPL,2024-06-30,27137.51,37875.73,-10738.22,SHORT,False,VALID
RPT0194,ACC025,GOOGL,2022-01-18,48615.93,18315.52,30300.41,SHORT,False,VALID
RPT0195,ACC048,AAPL,2023-07-30,18838.79,9586.36,9252.43,LONG,True,VALID
RPT0196,ACC046,AMZN,2023-04-25,4953.34,29599.87,-24646.53,LONG,False,VALID
RPT0197,ACC039,AMZN,2022-01-15,2321.4,23859.08,-21537.68,SHORT,False,VALID
RPT0198,ACC011,AMZN,2022-12-26,5991.85,13601.74,-7609.89,SHORT,True,VALID
RPT0199,ACC015,TSLA,2023-01-28,37425.69,,,SHORT,False,MISSING_BASIS
RPT0200,ACC028,AAPL,2023-10-24,34193.68,42435.65,-8241.97,LONG,False,VALID
